wavelength/microns	Spherical_albedo
1.99	0.2624321220474978
2.0	0.2687993651149957
2.01	0.2761281059800329
2.02	0.28493974655648996
2.03	0.2927808394968479
2.04	0.3013788605713781
2.05	0.300415061425865
2.0599999999999996	0.30679017738817427
2.07	0.31248041692690237
2.0799999999999996	0.31742274552925925
2.09	0.321585611596846
2.0999999999999996	0.3333897492785177
2.11	0.3365278377433118
2.1199999999999997	0.3383438061229905
2.13	0.33104957828844433
2.1399999999999997	0.33190908759681004
2.15	0.33183992295604037
2.1599999999999997	0.33128566250814706
2.17	0.3225334319925761
2.1799999999999997	0.32896023757458487
2.19	0.3273103569290017
2.1999999999999997	0.32559736933374656
2.21	0.31609458931291673
2.2199999999999998	0.31418863022178867
2.23	0.3055950413389837
2.2399999999999998	0.31119402677730984
2.25	0.31056308627600815
