Wavelength(micron)	Fp/F*(Blackbody & heat fully redistribution ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
4.40	29.84	29.84
4.41	29.92	29.92
4.42	29.99	29.99
4.43	30.07	30.07
4.44	30.14	30.14
4.45	30.21	30.21
4.46	30.29	30.29
4.47	30.36	30.36
4.48	30.43	30.43
4.49	30.50	30.50
4.50	30.58	30.58
4.51	30.65	30.65
4.52	30.72	30.72
4.53	30.79	30.79
4.54	30.87	30.87
4.55	30.94	30.94
4.56	31.01	31.01
4.57	31.08	31.08
4.58	31.15	31.15
4.59	31.22	31.22
4.60	31.29	31.29
4.61	31.36	31.36
4.62	31.43	31.43
4.63	31.50	31.50
4.64	31.57	31.57
4.65	31.64	31.64
4.66	31.71	31.71
4.67	31.78	31.78
4.68	31.85	31.85
4.69	31.92	31.92
4.70	31.99	31.99
4.71	32.06	32.06
4.72	32.13	32.13
4.73	32.19	32.19
4.74	32.26	32.26
4.75	32.33	32.33
4.76	32.40	32.40
4.77	32.46	32.46
4.78	32.53	32.53
4.79	32.60	32.60
4.80	32.67	32.67
4.81	32.73	32.73
4.82	32.80	32.80
4.83	32.87	32.87
4.84	32.93	32.93
4.85	33.00	33.00
4.86	33.06	33.06
4.87	33.13	33.13
4.88	33.19	33.19
4.89	33.26	33.26
4.90	33.33	33.33
4.91	33.39	33.39
4.92	33.46	33.46
4.93	33.52	33.52
4.94	33.58	33.58
4.95	33.65	33.65
4.96	33.71	33.71
4.97	33.78	33.78
4.98	33.84	33.84
4.99	33.90	33.90
5.00	33.97	33.97
5.01	34.03	34.03
5.02	34.09	34.09
5.03	34.16	34.16
5.04	34.22	34.22
5.05	34.28	34.28
5.06	34.34	34.34
5.07	34.41	34.41
5.08	34.47	34.47
5.09	34.53	34.53
5.10	34.59	34.59
5.11	34.65	34.65
5.12	34.72	34.72
5.13	34.78	34.78
5.14	34.84	34.84
5.15	34.90	34.90
5.16	34.96	34.96
5.17	35.02	35.02
5.18	35.08	35.08
5.19	35.14	35.14
5.20	35.20	35.20
5.21	35.26	35.26
5.22	35.32	35.32
5.23	35.38	35.38
5.24	35.44	35.44
5.25	35.50	35.50
5.26	35.56	35.56
5.27	35.62	35.62
5.28	35.68	35.68
5.29	35.74	35.74
5.30	35.80	35.80
5.31	35.85	35.85
5.32	35.91	35.91
5.33	35.97	35.97
5.34	36.03	36.03
5.35	36.09	36.09
5.36	36.14	36.14
5.37	36.20	36.20
5.38	36.26	36.26
5.39	36.32	36.32
5.40	36.37	36.37
5.41	36.43	36.43
5.42	36.49	36.49
5.43	36.54	36.54
5.44	36.60	36.60
5.45	36.66	36.66
5.46	36.71	36.71
5.47	36.77	36.77
5.48	36.82	36.82
5.49	36.88	36.88
5.50	36.94	36.94
5.51	36.99	36.99
5.52	37.05	37.05
5.53	37.10	37.10
5.54	37.16	37.16
5.55	37.21	37.21
5.56	37.27	37.27
5.57	37.32	37.32
5.58	37.38	37.38
5.59	37.43	37.43
5.60	37.48	37.48
5.61	37.54	37.54
5.62	37.59	37.59
5.63	37.65	37.65
5.64	37.70	37.70
5.65	37.75	37.75
5.66	37.81	37.81
5.67	37.86	37.86
5.68	37.91	37.91
5.69	37.97	37.97
5.70	38.02	38.02
5.71	38.07	38.07
5.72	38.12	38.12
5.73	38.18	38.18
5.74	38.23	38.23
5.75	38.28	38.28
5.76	38.33	38.33
5.77	38.39	38.39
5.78	38.44	38.44
5.79	38.49	38.49
5.80	38.54	38.54
5.81	38.59	38.59
5.82	38.64	38.64
5.83	38.69	38.69
5.84	38.74	38.74
5.85	38.80	38.80
5.86	38.85	38.85
5.87	38.90	38.90
5.88	38.95	38.95
5.89	39.00	39.00
5.90	39.05	39.05
5.91	39.10	39.10
5.92	39.15	39.15
5.93	39.20	39.20
5.94	39.25	39.25
5.95	39.30	39.30
5.96	39.35	39.35
5.97	39.40	39.40
5.98	39.45	39.45
5.99	39.49	39.49
6.00	39.54	39.54
6.01	39.59	39.59
6.02	39.64	39.64
6.03	39.69	39.69
6.04	39.74	39.74
6.05	39.79	39.79
6.06	39.83	39.83
6.07	39.88	39.88
6.08	39.93	39.93
6.09	39.98	39.98
6.10	40.03	40.03
6.11	40.07	40.07
6.12	40.12	40.12
6.13	40.17	40.17
6.14	40.22	40.22
6.15	40.26	40.26
6.16	40.31	40.31
6.17	40.36	40.36
6.18	40.40	40.40
6.19	40.45	40.45
6.20	40.50	40.50
6.21	40.54	40.54
6.22	40.59	40.59
6.23	40.64	40.64
6.24	40.68	40.68
6.25	40.73	40.73
6.26	40.77	40.77
6.27	40.82	40.82
6.28	40.87	40.87
6.29	40.91	40.91
6.30	40.96	40.96
6.31	41.00	41.00
6.32	41.05	41.05
6.33	41.09	41.09
6.34	41.14	41.14
6.35	41.18	41.18
6.36	41.23	41.23
6.37	41.27	41.27
6.38	41.32	41.32
6.39	41.36	41.36
6.40	41.41	41.41
6.41	41.45	41.45
6.42	41.49	41.49
6.43	41.54	41.54
6.44	41.58	41.58
6.45	41.63	41.63
6.46	41.67	41.67
6.47	41.71	41.71
6.48	41.76	41.76
6.49	41.80	41.80
6.50	41.84	41.84
6.51	41.89	41.89
6.52	41.93	41.93
6.53	41.97	41.97
6.54	42.02	42.02
6.55	42.06	42.06
6.56	42.10	42.10
6.57	42.14	42.14
6.58	42.19	42.19
6.59	42.23	42.23
6.60	42.27	42.27
6.61	42.31	42.31
6.62	42.35	42.35
6.63	42.40	42.40
6.64	42.44	42.44
6.65	42.48	42.48
6.66	42.52	42.52
6.67	42.56	42.56
6.68	42.60	42.60
6.69	42.65	42.65
6.70	42.69	42.69
6.71	42.73	42.73
6.72	42.77	42.77
6.73	42.81	42.81
6.74	42.85	42.85
6.75	42.89	42.89
6.76	42.93	42.93
6.77	42.97	42.97
6.78	43.01	43.01
6.79	43.05	43.05
6.80	43.09	43.09
6.81	43.13	43.13
