lamb/microns	ssa
2.01	0.7389834275520126
2.02	0.7501714191239042
2.03	0.7597521978007599
2.04	0.7698678650527659
2.05	0.7687537552142624
2.0599999999999996	0.776032250910109
2.07	0.7823511050879632
2.0799999999999996	0.7877069683449215
2.09	0.7921247894915557
2.0999999999999996	0.8042024378199042
2.11	0.8073046879710812
2.1199999999999997	0.8090796250068991
2.13	0.801859748319367
2.1399999999999997	0.8027231064583867
2.15	0.8026537579905076
2.1599999999999997	0.8020972289498034
2.17	0.7931189134157239
2.1799999999999997	0.7997467994910501
2.19	0.7980639034438161
2.1999999999999997	0.7963031031905411
2.21	0.7862796071208915
2.2199999999999998	0.7842160128599742
2.23	0.774683957203539
2.2399999999999998	0.7809370226217707
2.25	0.7802403916392631
2.26	0.7729702772606613
2.27	0.7819406252915153
