lamb/microns	Al2O3	Iron0.1%	Iron0.2%	Iron0.5%	Iron1%	Iron2%	Iron5%	Blackbody
26.900000000000002	82.72316731049854	82.79684350141913	82.85989213343626	83.00786990491372	83.16872423856536	83.3315169692972	83.51373271396474	87.7909286829181
26.910000000000004	82.37945815714318	82.45317803446981	82.51633307937757	82.66489317751241	82.827335888328	82.9948128584644	83.19895589694556	87.7937277044373
26.92	82.00267404999569	82.07643446715167	82.13969849580266	82.28887222282007	82.45300964242905	82.6255101661835	82.8532139504004	87.79652466536767
26.930000000000003	81.58762478157396	81.6614216952332	81.7247972571079	81.8746194270471	82.04057183767304	82.21848155951596	82.47160347655122	87.7993195679789
26.94	81.12791432413154	81.20174250884251	81.26523204571319	81.41574153132373	81.58364587962204	81.76740620147848	82.04807330534544	87.80211241453732
26.950000000000003	80.61554876850464	80.68940143109904	80.75300715409767	80.9042475796868	81.07426099989284	81.26438135606863	81.57504972516647	87.80490320730597
26.96	80.04037111221304	80.1142393664923	80.17796308483919	80.32998374087362	80.50228825757333	80.69936249954509	81.04289607160241	87.80769194854476
26.970000000000002	79.38922073240617	79.46309287879068	79.52693576890177	79.67979289043741	79.85460192371274	80.05933088283055	80.43910919959117	87.81047864050996
26.98	78.64463543491307	78.71849597112542	78.78245828518119	78.93621698280323	79.11378477558766	79.32700860152164	79.74707955055543	87.81326328545478
26.990000000000002	77.82938494021084	77.90321308971579	77.96728573994258	78.12196612982196	78.30243233836723	78.5246666378623	78.98761699149055	87.81604588562911
27.000000000000004	77.04493993177671	77.11871267696057	77.18286689240624	77.33835826233744	77.52148027754791	77.75209474914013	78.25524965366839	87.81882644327948
27.01	76.29611564752128	76.36981035242663	76.43401691278707	76.59020377638836	76.77572317304131	77.01403753048591	77.55448302709968	87.82160496064913
27.020000000000003	75.58861333662799	75.66220791977827	75.72643717973729	75.88319874448828	76.0708390296123	76.31611541425426	76.89066166472129	87.82438143997808
27.03	74.92925036478164	75.00272352930263	75.06694546240429	75.22415500373485	75.41361886842392	75.66505251938402	76.27018859183751	87.82715588350312
27.040000000000003	74.32627219366245	74.39960373573764	74.46378800559401	74.62131211734112	74.81227802530334	75.06898562090846	75.70082304406527	87.82992829345766
27.05	73.78978500068416	73.86295622602385	73.92707229510737	74.0847699692154	74.27688783193828	74.53789263319423	75.19209362522714	87.83269867207187
27.060000000000002	73.33237166302902	73.40536595328163	73.46938324178562	73.62710469687171	73.81999024229435	74.08420269712823	74.75588683483632	87.83546702157277
27.070000000000004	72.96999691118697	73.04280049884433	73.1066886058603	73.26427371631073	73.45750089741631	73.72369253110804	74.40731191599868	87.83823334418406
27.080000000000002	72.72338931377573	72.79599234380548	72.85972133287443	73.01699736045529	73.2100876400796	73.4768544843995	74.16602060875043	87.8409976421262
27.090000000000003	72.57293866945929	72.64533676837333	72.70888570058513	72.8657216006785	73.05830028813935	73.3245290943355	74.01415200866374	87.8437599176164
27.1	72.41977008233069	72.49196138067386	72.55532880994204	72.71172191741223	72.90378816973266	73.16948450324568	73.85960333047552	87.8465201728687
27.110000000000003	72.26379751537021	72.33578011870323	72.39896458755354	72.55491225717996	72.74646538218295	73.01163535408334	73.70229169420082	87.84927841009382
27.12	72.1049310914258	72.17670307998685	72.23970311982485	72.39520272951042	72.58624219639259	72.85089249538669	73.54213055927471	87.85203463149936
27.130000000000003	71.94307686743304	72.01463629583255	72.07745042727969	72.2324993816048	72.42302483239818	72.68716275925182	73.37902951207589	87.8547888392897
27.14	71.77813659189931	71.84948148885317	71.91210822215893	72.06670395632051	72.2567152183254	72.52034872292555	73.2128940379129	87.85754103566593
27.150000000000002	71.61000744414024	71.68113581224976	71.74357364779218	71.8977136319676	72.08721073125155	72.3503484525494	73.04362527608494	87.86029122282596
27.160000000000004	71.4385817535946	71.50949156917976	71.5717389980644	71.7254207422481	71.91440391831918	72.17705522742214	72.87111975649005	87.86303940296463
27.17	71.26374669736182	71.33443591035906	71.39649141512912	71.54971247449478	71.73818219626402	72.00035724297872	72.69526911608395	87.86578557827346
27.180000000000003	71.08538397390033	71.1558505078348	71.21771256330696	71.37047054415382	71.55842752731894	71.82013729047836	72.51595979331097	87.86852975094085
27.19	70.9033694505929	70.97361120263702	71.03527827688191	71.18757084323109	71.37501606923037	71.63627241117388	72.33307269841855	87.87127192315194
27.200000000000003	70.71757278262207	70.78758762375634	70.8490581792391	71.00088306015607	71.18781779685517	71.44863352247829	72.14648285733195	87.87401209708878
27.21	70.52785700030155	70.59764277559249	70.65891527049725	70.8102702682242	70.99669609252116	71.25708501335757	71.9560590264988	87.87675027493026
27.220000000000002	70.33407806167035	70.40363259068539	70.46470548044734	70.61558847944073	70.80150730199902	71.06148430585434	71.76166327581072	87.87948645885209
27.23	70.13608436677166	70.20540544415317	70.26627718322494	70.41668616020857	70.60210025254946	70.8616813792687	71.5631505363692	87.8822206510268
27.240000000000002	69.93371622959884	70.00280162582132	70.06347066970983	70.21340370486342	70.39831572908393	70.65751825310954	71.36036810946614	87.88495285362377
27.250000000000004	69.72680530318769	69.7956527655277	69.85611757313363	70.00557286255908	70.18998590397577	70.44882842443262	71.15315513270916	87.88768306880928
27.26	69.51517395275869	69.58378120651311	69.64404024281588	69.79301611244149	69.97693371549485	70.23543625463864	70.94134199870811	87.89041129874644
27.270000000000003	69.29863457114894	69.36699932113747	69.42705106027739	69.575545981379	69.75897218918861	70.01715630016069	70.72474972115614	87.89313754559527
27.28	69.07698883001183	69.14510876241197	69.20495169122188	69.35296429777263	69.53590369577755	69.79379258073801	70.50318924246483	87.89586181151263
27.290000000000003	68.85002685937965	68.91789964394594	68.97753226599751	69.12506137408486	69.3075191382721	69.5651377781279	70.2764606763396	87.89858409865222
27.3	68.61752634716227	68.68514963989226	68.74457048013267	68.89161510971677	69.07359706000894	69.3309723571284	70.04435247778368	87.90130440916471
27.310000000000002	68.3792515489683	68.44662299528561	68.50583060535074	68.6523900046839	68.8339026641435	69.09106359964308	69.8066405319848	87.90402274519761
27.320000000000004	68.13495219725107	68.202069435793	68.26106240009739	68.40713607317002	68.58818673377448	68.84516454119802	69.56308715233044	87.90673910889532
27.330000000000002	67.8843622971633	67.95122296426936	68.00999990699103	68.15558764443131	68.3361844402915	68.59301279777269	69.31343997639081	87.9094535023992
27.340000000000003	67.62719879460722	67.69380052962694	67.75236012272441	67.89746203664427	68.07761402567344	68.3343292689936	69.05743074706984	87.91216592784743
27.35	67.36316009973179	67.42950055129016	67.48784152371142	67.63245808707954	67.81217534228183	68.06881670161043	68.79477396419091	87.91487638737522
27.360000000000003	67.09192444648973	67.15800127987109	67.21612242814724	67.36025451936221	67.5395482311036	67.7961580946558	68.52516538951762	87.91758488311454
27.37	66.8131480657379	66.87895897158526	66.93685917202932	67.08050812548598	67.25939071633448	67.51601492470944	68.24828038552418	87.9202914171945
27.380000000000003	66.52646314563765	66.59200585019407	66.64968407297312	66.7928517365572	66.97133699056215	67.22802516615938	67.96377206505313	87.92299599174086
27.39	66.23147554865788	66.29674782582931	66.35420315122215	66.496891951837	66.67499516043466	66.93180107710765	67.671269225207	87.92569860887662
27.400000000000002	65.92776224913605	65.99276193470426	66.04999357192229	66.19220659035938	66.36994471749934	66.62692671650976	67.37037403429373	87.92839927072143
27.410000000000004	65.61486844890071	65.67959345728286	65.73660076630539	65.87834182301906	66.05573369258211	66.3129551520332	67.06065943520767	87.93109797939215
27.42	65.29230432064061	65.35675266467919	65.41353518164169	65.55480893529945	65.7318754444712	65.98940531072897	66.74166622206401	87.93379473700243
27.430000000000003	64.95954131918091	65.02371113354586	65.08026860033954	65.22108066139546	65.3978450243714	65.65575841563566	66.41289973895938	87.9364895456629
27.44	64.61600798915964	64.67989755807604	64.73622995694903	64.87658701895869	65.0530750462539	65.31145394043658	66.07382614003214	87.9391824074812
27.450000000000003	64.26108518322684	64.32469297339915	64.38080056753222	64.52071055950597	64.69695097923407	64.95588500080888	65.72386813813306	87.9418733245619
27.46	63.894100587077695	63.957425286887165	64.01330866813231	64.15278093195414	64.3288057608186	64.58839308438637	65.36240015478779	87.94456229900655
27.470000000000002	63.51432242541561	63.577362991722445	63.63302313697147	63.77206863483411	63.94791360829288	64.2082620004834	64.9887427660127	87.94724933291366
27.48	63.12095219504004	63.18370790925249	63.23914624725364	63.377777805221584	63.55348287846813	63.814710904673056	64.60215631591997	87.94993442837882
27.490000000000002	62.71311623595635	62.77558677144695	62.83080526235298	62.96903785765676	63.14464779182832	63.40688622045906	64.20183354165772	87.95261758749446
27.500000000000004	62.28985590639773	62.352041409900586	62.40704264040318	62.544893741996944	62.72045879359165	62.98385223847669	63.786891017278705	87.95529881235012
27.51	61.850116069778785	61.91201726012082	61.96680455780389	62.10429453221048	62.27987126830459	62.54458012007722	63.356359178304785	87.95797810503232
27.520000000000003	61.392731526514666	61.454349814971	61.5089273865292	61.64607998428272	61.82173225217095	62.08793496282826	62.90917062980911	87.96065546762455
27.53	60.91641092526546	60.97774856310969	61.0321216624059	61.168964604756134	61.34476469261618	61.61266049496828	62.44414636435464	87.96333090220736
27.540000000000003	60.41971755791041	60.48077781842363	60.53495295218833	60.6715186435495	60.84754867935865	61.11736084643507	61.95997941590238	87.96600441085825
27.55	59.901046268109894	59.96183367265338	60.01581885406448	60.152145253618414	60.32849890393562	60.60047868480212	61.45521534308078	87.9686759956518
27.560000000000002	59.3585954667373	59.41911606770328	59.47292113149702	59.609052828211816	59.78583737810503	60.06026878936471	60.92822875744154	87.97134565865963
