Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
5.70	64.24	64.44
5.71	64.30	64.49
5.72	64.35	64.55
5.73	64.40	64.60
5.74	64.45	64.65
5.75	64.50	64.70
5.76	64.55	64.75
5.77	64.60	64.80
5.78	64.65	64.85
5.79	64.70	64.90
5.80	64.75	64.95
5.81	64.80	64.99
5.82	64.84	65.04
5.83	64.89	65.09
5.84	64.94	65.14
5.85	64.99	65.19
5.86	65.04	65.24
5.87	65.09	65.29
5.88	65.14	65.34
5.89	65.18	65.38
5.90	65.23	65.43
5.91	65.28	65.48
5.92	65.33	65.53
5.93	65.38	65.58
5.94	65.44	65.64
5.95	65.50	65.69
5.96	65.55	65.75
5.97	65.61	65.80
5.98	65.66	65.85
5.99	65.72	65.91
6.00	65.77	65.96
6.01	65.83	66.02
6.02	65.88	66.07
6.03	65.93	66.12
6.04	65.99	66.18
6.05	66.04	66.23
6.06	66.10	66.28
6.07	66.15	66.34
6.08	66.20	66.39
6.09	66.26	66.44
6.10	66.31	66.49
6.11	66.37	66.55
6.12	66.42	66.60
6.13	66.47	66.65
6.14	66.53	66.70
6.15	66.58	66.76
6.16	66.62	66.80
6.17	66.67	66.84
6.18	66.71	66.89
6.19	66.75	66.93
6.20	66.80	66.98
6.21	66.84	67.02
6.22	66.89	67.06
6.23	66.93	67.11
6.24	66.97	67.15
6.25	67.02	67.20
6.26	67.06	67.24
6.27	67.10	67.28
6.28	67.15	67.32
6.29	67.19	67.37
6.30	67.23	67.41
6.31	67.28	67.45
6.32	67.32	67.50
6.33	67.36	67.54
6.34	67.40	67.58
6.35	67.44	67.62
6.36	67.49	67.66
6.37	67.53	67.71
6.38	67.57	67.75
6.39	67.62	67.80
6.40	67.67	67.85
6.41	67.72	67.90
6.42	67.77	67.95
6.43	67.82	67.99
6.44	67.87	68.04
6.45	67.92	68.09
6.46	67.97	68.14
6.47	68.02	68.19
6.48	68.07	68.24
6.49	68.12	68.29
6.50	68.17	68.33
6.51	68.22	68.38
6.52	68.26	68.43
6.53	68.31	68.48
6.54	68.36	68.52
6.55	68.41	68.57
6.56	68.46	68.62
6.57	68.51	68.67
6.58	68.56	68.71
6.59	68.60	68.76
6.60	68.65	68.81
6.61	68.70	68.86
6.62	68.75	68.90
6.63	68.79	68.95
6.64	68.84	69.00
6.65	68.89	69.04
6.66	68.94	69.09
6.67	68.98	69.14
6.68	69.03	69.18
6.69	69.08	69.23
6.70	69.13	69.27
6.71	69.17	69.32
6.72	69.22	69.37
6.73	69.27	69.41
6.74	69.31	69.46
6.75	69.36	69.50
6.76	69.41	69.55
6.77	69.45	69.59
6.78	69.50	69.64
6.79	69.55	69.69
6.80	69.59	69.73
6.81	69.64	69.78
6.82	69.68	69.82
6.83	69.73	69.87
6.84	69.78	69.91
6.85	69.82	69.96
6.86	69.87	70.00
6.87	69.91	70.04
6.88	69.96	70.09
6.89	70.00	70.13
6.90	70.05	70.18
6.91	70.09	70.22
6.92	70.14	70.27
6.93	70.18	70.31
6.94	70.23	70.35
6.95	70.27	70.40
6.96	70.32	70.44
6.97	70.36	70.49
6.98	70.41	70.53
6.99	70.45	70.57
7.00	70.50	70.62
7.01	70.54	70.66
7.02	70.58	70.70
7.03	70.63	70.75
