Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
5.49	59.95	59.95
5.50	60.00	60.00
5.51	60.06	60.06
5.52	60.12	60.12
5.53	60.17	60.17
5.54	60.23	60.23
5.55	60.28	60.28
5.56	60.34	60.34
5.57	60.39	60.39
5.58	60.45	60.45
5.59	60.50	60.50
5.60	60.56	60.56
5.61	60.61	60.61
5.62	60.67	60.67
5.63	60.72	60.72
5.64	60.78	60.78
5.65	60.83	60.83
5.66	60.88	60.88
5.67	60.94	60.94
5.68	60.99	60.99
5.69	61.04	61.04
5.70	61.10	61.10
5.71	61.15	61.15
5.72	61.20	61.20
5.73	61.25	61.25
5.74	61.31	61.31
5.75	61.36	61.36
5.76	61.41	61.41
5.77	61.46	61.46
5.78	61.52	61.52
5.79	61.57	61.57
5.80	61.62	61.62
5.81	61.67	61.67
5.82	61.72	61.72
5.83	61.77	61.77
5.84	61.82	61.82
5.85	61.87	61.87
5.86	61.92	61.92
5.87	61.98	61.98
5.88	62.03	62.03
5.89	62.08	62.08
5.90	62.13	62.13
5.91	62.18	62.18
5.92	62.23	62.23
5.93	62.28	62.28
5.94	62.32	62.32
5.95	62.37	62.37
5.96	62.42	62.42
5.97	62.47	62.47
5.98	62.52	62.52
5.99	62.57	62.57
6.00	62.62	62.62
6.01	62.67	62.67
6.02	62.71	62.71
6.03	62.76	62.76
6.04	62.81	62.81
6.05	62.86	62.86
6.06	62.91	62.91
6.07	62.95	62.95
6.08	63.00	63.00
6.09	63.05	63.05
6.10	63.10	63.10
6.11	63.14	63.14
6.12	63.19	63.19
6.13	63.24	63.24
6.14	63.28	63.28
6.15	63.33	63.33
6.16	63.38	63.38
6.17	63.42	63.42
6.18	63.47	63.47
6.19	63.52	63.52
6.20	63.56	63.56
6.21	63.61	63.61
6.22	63.65	63.65
6.23	63.70	63.70
6.24	63.74	63.74
6.25	63.79	63.79
6.26	63.83	63.83
6.27	63.88	63.88
6.28	63.92	63.92
6.29	63.97	63.97
6.30	64.01	64.01
6.31	64.06	64.06
6.32	64.10	64.10
6.33	64.15	64.15
6.34	64.19	64.19
6.35	64.23	64.23
6.36	64.28	64.28
6.37	64.32	64.32
6.38	64.37	64.37
6.39	64.41	64.41
6.40	64.45	64.45
6.41	64.50	64.50
6.42	64.54	64.54
6.43	64.58	64.58
6.44	64.62	64.62
6.45	64.67	64.67
6.46	64.71	64.71
6.47	64.75	64.75
6.48	64.80	64.80
6.49	64.84	64.84
6.50	64.88	64.88
