lamb/microns	Al2O3	Carbon0.1%	Carbon0.2%	Carbon0.5%	Carbon1%	Carbon2%	Carbon5%	Blackbody
15.46	63.834170469662595	63.86760173050439	63.9016129287046	64.00782408822177	64.19616419436376	64.58773233597083	65.72295804812619	82.2610192272151
15.47	64.00460782863202	64.03615605212627	64.0683099053226	64.1691008260645	64.34888255918666	64.72489564276361	65.82328053582519	82.2693491630794
15.48	64.16794578157828	64.19770753687276	64.22809899547279	64.3237450759267	64.49539814125846	64.85662082187673	65.91988860995951	82.27766859279252
15.49	64.32461853890992	64.35268301569846	64.38139980556976	64.47215566470955	64.63607787286674	64.98321969970686	66.01297811092572	82.28597753608635
15.5	64.47502589932448	64.50147562708143	64.52859895062488	64.61470042724575	64.77126071174587	65.10498118415319	66.10273185694383	82.29427601264373
15.51	64.61953664924637	64.64444813152946	64.67005328632006	64.75171920526127	64.9012602940287	65.22217335516201	66.18932071071194	82.3025640420986
15.52	64.75849155797697	64.7819358335776	64.80609275995657	64.88352649713153	65.02636728458313	65.33504532611823	66.27290454136862	82.3108416440362
15.53	64.89220602469861	64.9142491655489	64.93702293274993	65.01041380589965	65.14685146502069	65.4438289053858	66.35363309373778	82.3191088379931
15.540000000000001	65.02097242458606	65.04167597879375	65.06312721770743	65.13265172566958	65.26296359355027	65.54874008303138	66.43164677527113	82.32736564345754
15.55	65.1450621939659	65.16448358107966	65.18466887053488	65.25049180040644	65.3749370657751	65.6499803641901	66.50707736976979	82.33561207986939
15.56	65.2647276884182	65.28292055297229	65.30189276539797	65.3641681841299	65.48298940130117	65.74773796753043	66.58004868582617	82.34384816662039
15.57	65.3802038426951	65.39721837120375	65.41502698268691	65.47389912727571	65.58732357748215	65.84218890474295	66.65067714694536	82.35207392305432
15.58	65.49170965714083	65.50759286297969	65.52428423202502	65.57988831047732	65.68812922864936	65.93349795483519	66.71907232946013	82.36028936846705
15.59	65.63447396568162	65.64894231699763	65.66423765238633	65.71576514292036	65.8175611829975	66.05118585014654	66.80871638305568	82.36849452210683
15.6	65.84017167551528	65.85267614845282	65.86603504804194	65.91191559003686	66.00480728973717	66.22227497175587	66.94153234602314	82.37668940317428
15.61	66.10471297289737	66.1147768887605	66.1257296792877	66.16459576127446	66.24643307744482	66.44385855765371	67.11568474389827	82.38487403082267
15.620000000000001	66.42440820661845	66.43161635320513	66.43975353735766	66.4704106931488	66.53930892026519	66.71326373085601	67.32944753218422	82.39304842415797
15.63	66.79591132216851	66.79990105170454	66.80486465767638	66.82626695343052	66.88057023021008	67.02802323061361	67.58119344401877	82.40121260223903
15.64	67.21617351472739	67.21662739100769	67.21810381618249	67.22933350896294	67.26758435303034	67.38585159574802	67.86938474603217	82.40936658407774
15.65	67.6824048987742	67.67904457280446	67.67675861443618	67.67700913660616	67.69792281858176	67.78462496161913	68.19256518209075	82.41751038863919
