Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
4.40	46.79	47.61
4.41	46.89	47.70
4.42	46.98	47.79
4.43	47.07	47.88
4.44	47.17	47.97
4.45	47.26	48.06
4.46	47.35	48.15
4.47	47.45	48.24
4.48	47.55	48.33
4.49	47.64	48.43
4.50	47.74	48.52
4.51	47.84	48.62
4.52	47.94	48.71
4.53	48.04	48.80
4.54	48.14	48.90
4.55	48.24	48.99
4.56	48.33	49.09
4.57	48.43	49.18
4.58	48.53	49.27
4.59	48.63	49.37
4.60	48.73	49.46
4.61	48.82	49.55
4.62	48.92	49.64
4.63	49.02	49.74
4.64	49.11	49.83
4.65	49.21	49.92
4.66	49.31	50.02
4.67	49.40	50.11
4.68	49.50	50.20
4.69	49.59	50.29
4.70	49.69	50.38
4.71	49.78	50.47
4.72	49.88	50.56
4.73	49.97	50.65
4.74	50.07	50.74
4.75	50.16	50.83
4.76	50.26	50.92
4.77	50.35	51.01
4.78	50.44	51.10
4.79	50.54	51.19
4.80	50.63	51.28
4.81	50.72	51.37
4.82	50.82	51.46
4.83	50.91	51.55
4.84	51.00	51.64
4.85	51.16	51.78
4.86	51.32	51.93
4.87	51.48	52.08
4.88	51.64	52.22
4.89	51.80	52.37
4.90	51.97	52.52
4.91	52.08	52.62
4.92	52.17	52.71
4.93	52.26	52.79
4.94	52.35	52.88
4.95	52.44	52.97
4.96	52.53	53.05
4.97	52.62	53.14
4.98	52.70	53.22
4.99	52.79	53.31
5.00	52.88	53.39
5.01	52.97	53.48
5.02	53.06	53.56
5.03	53.15	53.65
5.04	53.24	53.73
5.05	53.33	53.82
5.06	53.41	53.90
5.07	53.49	53.97
5.08	53.57	54.05
5.09	53.65	54.13
5.10	53.73	54.21
5.11	53.81	54.28
5.12	53.89	54.36
5.13	53.97	54.44
5.14	54.05	54.51
5.15	54.12	54.59
5.16	54.20	54.67
5.17	54.28	54.74
5.18	54.36	54.82
5.19	54.44	54.89
5.20	54.52	54.97
5.21	54.60	55.04
5.22	54.67	55.12
5.23	54.75	55.19
5.24	54.83	55.27
